web-scraper-order,web-scraper-start-url,cloth
"1692464499-1","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New P.A.R.O.S.H. women's jeans WHITE D231171CABAREXY002"
"1692464499-2","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New MSGM men's jeans BLACK 3540MP238T23759599"
"1692464499-3","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Dondup men's jeans BLACK UP232DS0257UFG1"
"1692464499-4","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Diesel men's jeans BLUE A03558Z9B8901"
"1692464499-5","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Diesel men's jeans BLACK A0359409B9702"
"1692464499-6","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New John Richmond men's jeans WHITE RMP23078JEDENIMWHITE"
"1692464499-7","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Diesel men's jeans BLUE A03571007L101"
"1692464499-8","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Dondup men's jeans BLACK UP232DSE315UGI7DUGEORGE999"
"1692464499-9","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Edwin men's jeans BLUE I03206489JD32DARKUSED"
"1692464499-10","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Pt Torino men's jeans BLUE C5KJ05Z40BASTX28SK21"
"1692464499-11","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Dondup men's jeans BLUE UP232DS0145U800"
"1692464499-12","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Dondup men's jeans BLUE UP232DS0107U800"
"1692464499-13","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Carhartt Wip men's jeans LIGHT BROWN I0291480506"
"1692464499-14","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Dondup men's jeans BLUE UP576DS0050UFF3800"
"1692464499-15","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Dondup men's jeans BLACK UP232DSE315UGM4DU999"
"1692464499-16","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN ICON Plus Elastic Waist Ruffle Hem Denim Skirt"
"1692464499-17","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Mulvari Plus Tie Front Denim Skirt"
